subject,sessionIndex,rep,H.period,UD.period,DD.period,H.t,UD.t,DD.t,H.i,UD.i,DD.i,H.e,UD.e,DD.e,H.five,UD.five,DD.five,H.Shift_r,UD.Shift_r,DD.Shift_r,H.o,UD.o,DD.o,H.a,UD.a,DD.a,H.n,UD.n,DD.n,H.l,UD.l,DD.l,H.Return,UD.Return,DD.Return
s001,1,1,0.10605010171023449,0.10127975866211986,0.20732986037235435,0.0956707453622985,0.029513678335135473,0.12518442369743396,0.06347079163131794,0.11922790951277201,0.18269870114408995,0.06275314361693435,0.07274877891202237,0.13550192252895674,0.07670000601728623,0.03993775594217618,0.1166377619594624,0.04213667196065403,0.034357111782512974,0.076493783743167,0.10409996879962874,0.06950795919718687,0.17360792799681563,0.04636440844666137,0.09060459745897832,0.13696900590563968,0.07691334977143838,0.06169990979258668,0.13861325956402504,0.06077557685414426,0.14268599538668478,0.203461572240829,0.04510123466376227,0.0484422874589712,0.09354352212273347
s001,1,2,0.07589590895057509,0.09908222984912096,0.17497813879969606,0.07490335173265385,0.05264328766504901,0.12754663939770286,0.06272353764578005,0.07256665144024266,0.1352901890860227,0.08027758460786286,0.08439630502898804,0.1646738896368509,0.08734000544217058,0.03270276905203152,0.12004277449420209,0.05889145759371218,0.03684651138288927,0.09573796897660145,0.11245733813804606,0.06101273733167657,0.17347007546972265,0.080738779767973,0.13940577908709884,0.22014455885507184,0.059039004395601835,0.05460647937816631,0.11364548377376815,0.0882560106717346,0.11576587998167745,0.20402189065341203,0.060359681454510136,0.07751376714396566,0.13787344859847578
s001,1,3,0.10210913154103438,0.1401962793241347,0.24230541086516907,0.07697241756307426,0.04741597571093767,0.12438839327401192,0.05686758049483895,0.07886627170316986,0.1357338521980088,0.10735791297027233,0.09224238696143837,0.19960029993171072,0.05036798663501971,0.03131204771716171,0.08168003435218141,0.05082423994303535,0.06690073413344091,0.11772497407647627,0.1109616795379363,0.10923506334206635,0.22019674288000265,0.0892095853240909,0.11038825282848218,0.19959783815257306,0.05400367706011678,0.04047344165651971,0.09447711871663649,0.0897411908595874,0.10745919137900796,0.19720038223859535,0.06695490080413545,0.06929609165993471,0.13625099246407016
s001,1,4,0.12322335058014235,0.10744941129455364,0.230672761874696,0.02,0.054488478071176086,0.07448847807117608,0.034043700729868974,0.11817935849027554,0.15222305922014454,0.11519267708104883,0.07669611197520215,0.19188878905625098,0.05293499876019685,0.014345562894199795,0.06728056165439665,0.0713011250794252,0.034423258260000526,0.10572438333942571,0.09756909407053138,0.04919899822956995,0.14676809230010132,0.11563742733369926,0.11571464372194942,0.2313520710556487,0.07105759995718779,0.035790708828610025,0.10684830878579782,0.11844835038417749,0.15267400916593651,0.27112235955011404,0.04891309366090797,0.063829807126075,0.11274290078698297
s001,1,5,0.07844764373490455,0.09216010279846591,0.17060774653337046,0.07700376066509729,0.02352659997003551,0.10053036063513279,0.060675767581974197,0.06466467316219782,0.12534044074417203,0.06881846844564045,0.10583899874763995,0.1746574671932804,0.06557526900047042,0.036286704216259166,0.1018619732167296,0.06594814136265949,0.051272159310346684,0.11722030067300616,0.13548914253667785,0.05913138243618777,0.19462052497286564,0.04472265552945606,0.12251019758127438,0.16723285311073044,0.06748642028535577,0.04157554922836738,0.10906196951372316,0.07593042864183687,0.18767264331503272,0.2636030719568696,0.0415484916412843,0.08642291439928305,0.12797140604056736
s001,1,6,0.09697306610030895,0.09753249042459777,0.19450555652490673,0.0722927164081309,0.028810135715516574,0.10110285212364746,0.027263768138213167,0.05328702730315796,0.08055079544137113,0.08900348195533889,0.14060433698293937,0.22960781893827825,0.04737191530627569,0.04744187633127555,0.09481379163755124,0.07946380476814463,0.053823287200190896,0.13328709196833552,0.10364213335247194,0.02093774575689818,0.12457987910937013,0.04421675348880014,0.08946008140267404,0.1336768348914742,0.05497506974601286,-0.036775201278017394,0.05497506974601286,0.056614832943792805,0.13450383780941813,0.19111867075321096,0.053167075583117424,0.050888849688208664,0.1040559252713261
s001,1,7,0.08655947636110616,0.08972699444088403,0.17628647080199017,0.0739054205949121,0.07488607992307146,0.14879150051798357,0.09255220798239674,0.0983004420464602,0.19085265002885693,0.09456305621856423,0.12202248687373304,0.21658554309229724,0.10395410398904963,0.08298472636030005,0.18693883034934966,0.07609680413372873,0.02405082602155285,0.10014763015528158,0.07026733715447007,0.07607099860681249,0.14633833576128258,0.07535883388008738,0.10606028559356166,0.18141911947364903,0.04745428700762658,-0.014037596178994189,0.04745428700762658,0.12719742554674512,0.13837556619130262,0.26557299173804777,0.04390995062892605,0.0783526597210531,0.12226261034997915
s001,1,8,0.10293555490056942,0.12172848667612414,0.22466404157669356,0.09281117740773465,0.03472682148687645,0.1275379988946111,0.04290014652532771,0.08215537846205336,0.12505552498738107,0.06780152116977316,0.1000915659666312,0.16789308713640436,0.07710313320912614,0.05615755482311724,0.13326068803224336,0.0509719680159611,0.04919043900087253,0.10016240701683364,0.09997126923246404,0.06744053782985944,0.16741180706232348,0.07153514148835032,0.08057525393712883,0.15211039542547916,0.06748922657287552,0.0002274451010566203,0.06771667167393214,0.12814848076256458,0.1378445222272939,0.2659930029898585,0.06553780802570287,0.07142044837853276,0.13695825640423562
s001,1,9,0.09455479054801831,0.051979781035894054,0.14653457158391237,0.0781716613115337,0.01604090098566979,0.09421256229720351,0.07600733362711008,0.06596719827334784,0.14197453190045792,0.07746576449888898,0.08156037397728083,0.1590261384761698,0.05515291714921051,0.043730549326363874,0.09888346647557437,0.06570510908733637,0.02933793027314757,0.09504303936048393,0.0794179719210233,0.04129029600147696,0.12070826792250026,0.0817014220633483,0.13490590374640896,0.21660732580975725,0.0723598800289512,0.024052110865370648,0.09641199089432186,0.07253044260290303,0.1489699185368268,0.22150036113972985,0.05927983295271365,0.06323523377249368,0.12251506672520733
s001,1,10,0.11681753668544613,0.12403051054879907,0.2408480472342452,0.06770996963183906,0.007944277602994099,0.07565424723483315,0.05280774151237812,0.04041887089218109,0.0932266124045592,0.083948481288752,0.08761382257067218,0.1715623038594242,0.08979166314861735,0.05293316105633987,0.1427248242049572,0.05378342391720482,0.08990493052916726,0.14368835444637207,0.08581194402811701,0.022991545951613082,0.1088034899797301,0.06582169151529946,0.11997779320444839,0.18579948471974786,0.05525079802099661,0.006590826782554851,0.06184162480355146,0.06966478636703828,0.1625418648730087,0.232206651240047,0.05014204560604614,0.043074259152398334,0.09321630475844446
